is_bad,text
0,"jadi sedih campur terharu ,, hai koruptor apa lo enggak bangga punya presiden begini , dasar makanan nya yang haram otak nya juga kotor , koruptor lo daging babi kau haram kan nyolong duit rakyat kau halal kan"
0,rakyat indonesia berduka atas musibah gempa amp tsunamiulteng palu amp donggala juga negara di dunia ikut berduka aku mo
0,"duh kok tidak menemukan ya , bagaimana sih ribet"
0,Semoga betul klo sma yg ini mh....klo bella mh udah dapet yg amat sangat pas lah
0,ya allah minggu ini masih harus lpm kenapa sudah ada feeling saja minggu ini akan terasa melelahkan
0,bingung saya dengan semua ini galau
0,tidak kreatif
0,rama gak usah ganggu aku sama karya ya tolong
0,'s mereka yg bodoh saya yg malu
0,oalah gk nnton aku
0,"ya tuhan , kirimlah bencana kepada lgbt-lgbt ini , biar pada mampus semuanya"
0,bestnya bila cakap rindu dekat someone tu pastu terus datang i rasa hish bertuahnya i dapat u sayang lagi la kalau dia b
1,"yaa ampun ini upil naruto, kata2nya makin mencerminkan klo dia yg sebenarnya pecun. pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau."
1,Eeee si pelacur. Situ becus jd brempuan emang? Becus jadi sampah sih iya. Edeuuuuuh lonte lonte
0,saya dengar lawang wangi makanan nya enak . eh ternyata makanan nya tidak enak tidak rekomendasi banget pelayan nya juga tidak ramah . lawang wangi bagus tempat nya .
0,aww aku terinfeksi ayo maju loe kita gelut
0,kamera nya jadi jelek dah pas update ke android oreo
0,kamu jangan penasaran ah
0,ni aku nak tanya sikit ni tak penat ke lepas dah kena dump pastu cari yang lain as replacement yang sedihnya pastu kena
0,apa guna nya menyatu dengan indonesia jika indonesia tidak menghargai bali dan warga nya ?
0,tidak sayang
0,andai saja aku bisa ketemu sama kamu wahai sang bidadari tetapi itu semua cuma dalam hayalan sahaja teens paulina
0,"zaman sekarang masih ada yang bicara pribumi ? lah , anda belum tahu mereka sudah jadi mayat ratusan tahun lalu di lenyapkan teknologi ."
0,memasuki zona waktu jenuh dengan instagram .
0,"Si wanita jahiliyah.. Lesbi , skrg udh py pacar lg. Kasian anaknya. Kmrn di ksh bencana slnya dia tega misahin anak dr bapak nya, dia ktakutan anak nya masuk islam pdhl bp nya g prnh nuntut anaknya memeluk islam. Udh di ksh nikmat anak 3 org, msh aja begajulan."
0,"mengkafir - kafirkan cina tapi dia minta dana sama cina , aneh bukan ? jelas anda tidak waras ."
0,"Hadeh ini lagi Satu Cewe yg udh pikirannya jahat, jari jarinya jahat. Dinikmati? Heh mbak emang penyanyi dangdut itu auto lonte? Lonte juga bisa kena sexual harassment mbaaaak."
0,"kalau kamu tidak suka liat nya , tinggal pencet unfollow temen mu nder"
0,dia cuma iseng membuka obrolan denganmu karena lagi kesepian aja bukan niat mau membuka pintu lebar lebar buat kamu masuk
0,dizaman ini masih ada mbak mbak online shop yang tidak tahu aplikasi gojek gocar gosend ya allah bodoh sekali : jualan dihutan aku rasa
0,pahri oh pahri lu sama saja kayak trio kwek kwek noh temen lu si sn sama fz muka batu bata urat malu sudah putus
0,aku moh dijodohake moh pkke
0,nyepi sepi sehari seperti tahi .
0,"malam pak proses pengembalian dana cancellation tiket saya hampir 2 bulan belum ditransfer , call cor pelayanan pelanggan tidak banyak bantu . saya kecewa"
0,"jangan sampai tertipu lagi seperti jakarta , punya gue dan wagub sara yang licik serakah ingkar janji hanya mau mengeruk dana apbd"
0,tua sekali pak edi tak lulus btw apa dia kalo masi wajar
0,buat gw aneh kalo laki berapi ngomong soal aborsi dan melahirkan as if mereka pernah mengalami bro cuci muka sa
0,toloong dengan sangat ya . saya benar benar marah melihat indosat kayak gini
0,mehhh diti apa kabar wah naik berapa kilo nih njalok digaplok
